text,label
"Help! Mera baccha kho gaya hai, blue t-shirt pehna tha.",child_lost
Koi mera chhota beta dekha hai? Pata nahi kaha chala gaya.,child_lost
Emergency! Mera ladka gum ho gaya hai exhibition mein.,child_lost
"Mujhe mera bacha nahi mil raha, last time yaha dekha tha.",child_lost
Kisine mere chote bacche ko dekha hai? Bahut dar gaya hoga.,child_lost
Please help find my son. He's 5 years old and wearing a red cap.,child_lost
"Mere bachche ka naam Aryan hai, woh kahin dikh nahi raha.",child_lost
"Help! Ek ladki kho gayi hai, usne pink frock pehna hai.",child_lost
"My daughter is lost in the crowd. She's small, maybe 3 years old.",child_lost
"Ek chhota baccha akela ro raha hai, shayad uske parents kho gaye hain.",child_lost
"Please, I need help finding my child. They wandered off.",child_lost
"Mera chota sa baccha kahin gayab ho gaya hai, madad kijiye.",child_lost
"Bhaiya, mera beta nahi dikh raha. Bahut chhota hai.",child_lost
Is area mein koi chhota baccha gum hua hai kya?,child_lost
Help me find my kid. Lost him near the food court.,child_lost
"Meri beti kho gayi hai, uske haath mein ek yellow balloon tha.",child_lost
Koi mere bacche ko dekha hai? White kurta pajama mein tha.,child_lost
"Ek bacha bahut pareshan lag raha hai, parents nahi dikh rahe.",child_lost
Urgent! My son is missing. He's wearing a blue shirt and shorts.,child_lost
"Bachcha kho gaya hai, help find him please.",child_lost
"Mera chhota baccha kahin chala gaya, koi dekho toh.",child_lost
"Ek ladka bahut ro raha hai, akela khada hai.",child_lost
Help find my daughter. She was holding my hand and now she's gone.,child_lost
"Koi bacha gum gaya hai, chaliye dhundhte hain.",child_lost
"Mera bacha kahin nahi mil raha, bahut dar lag raha hai.",child_lost
Help me find my son. He has a distinctive birthmark on his cheek.,child_lost
"Ek choti ladki ka background check chahiye, gum ho gayi hai.",child_lost
My child is lost. Please help me find her. She's wearing a yellow dress.,child_lost
"Ek baccha akela ghoom raha hai, koi hai uska?",child_lost
"Mujhe mera bachcha nahi dikh raha, aapne dekha kya?",child_lost
"Help! My son, Rohan, is lost. He is 6 years old.",child_lost
"Ek chota sa bachha bahut dar gaya hai, akela hai.",child_lost
"Mera baccha kahin kho gaya hai, please help.",child_lost
Koi mere bachhe ko dekha? Green t-shirt pehni thi.,child_lost
Help find my daughter. She was playing near the fountain.,child_lost
My son has gone missing. He's wearing a blue shirt with a dinosaur.,child_lost
Ek ladki ka group mein se ek bacchi gum ho gayi hai.,child_lost
Mera beta kahin dikh nahi raha. Madad kijiye.,child_lost
Help! A small boy is lost. He's wearing a red shirt.,child_lost
"Mujhe mera chhota ladka nahi mil raha, please help find him.",child_lost
Ek chhota baccha akela khada hai aur bahut ro raha hai.,child_lost
Help find my child. They were wearing a yellow jacket.,child_lost
"Mera bacha kahin dikh nahi raha, bahut chinta ho rahi hai.",child_lost
"Ek chota sa ladka gum ho gaya hai, red shoes pehne the.",child_lost
Help! My daughter is lost. She's 4 years old and has brown hair.,child_lost
"Mujhe mera baccha nahi mil raha, last seen yahan tha.",child_lost
Koi mera chota beta dekha hai? Blue t-shirt pehna tha.,child_lost
Emergency! Mera ladka gum ho gaya hai fair mein.,child_lost
Please help find my son. He's 7 years old and wearing a green shirt.,child_lost
"Meri beti kho gayi hai, uske paas ek teddy bear tha.",child_lost
"Ek bacha akela darwaje pe khada hai, parents nahi dikh rahe.",child_lost
Help me find my kid. Lost him near the main entrance.,child_lost
"Mera chhota baccha kahin gayab ho gaya hai, madad kijiye please.",child_lost
"Bhaiya, mera beta nahi dikh raha. Bahut chhota hai, please dekho.",child_lost
Is area mein koi chhota baccha gum hua hai kya? Please bataiye.,child_lost
Help find my daughter. She was wearing a pink frock.,child_lost
