text,label
"Bhai, ek stall pe chota sa fire ho gaya hai, jaldi aao!",small_fire
"Yahan public area mein dhuaan dikh raha hai, kuch jal raha hai shayad.",small_fire
"OMG! Garbage bin mein aag lag gayi hai, extinguish karo!",small_fire
"Electrical short circuit se spark ho raha hai, fire risk hai.",small_fire
"Momos stall pe cooking ke time kuch jala hai, smoke bahar aa raha hai.",small_fire
"Parking area mein ek tyre mein aag lag gayi hai, chota sa flame hai.",small_fire
"Dekho, ek tree mein short circuit se aag lagi hai, jaldi pani dalo.",small_fire
"Stage ke paas wiring se smoke aa raha hai, chota sa fire ho sakta hai.",small_fire
"Cafe ke kitchen se jalti hui khushboo aa rahi hai, check karo.",small_fire
"Bhaiyya, ek bag mein kuch ajeeb sa jal raha hai, smell aa rahi hai.",small_fire
"Main gate ke paas ek trolley mein aag hai, jaldi karo!",small_fire
"Emergency exit ke paas dhuaan hai, kuch jala hai.",small_fire
"Food court mein ek table ke neeche kuch jala hai, choti si aag.",small_fire
"Battery se smoke nikal raha hai, chota sa fire ka chance hai.",small_fire
"Security guard, yahan ek fan mein short circuit hua hai, spark dikh raha hai.",small_fire
"Music system se halka sa dhuaan aa raha hai, sambhalo.",small_fire
"Ek vendor ke cart pe choti si aag lagi hai, bas thoda smoke hai.",small_fire
Children's play area mein ek plastic toy mein aag lag gayi hai.,small_fire
"Restaurant ke bahar waste bin mein aag hai, jaldi.",small_fire
"Toilet mein dhuaan hai, koi lighter use kar raha hai kya?",small_fire
Computer desk ke paas charging point se spark ho raha hai.,small_fire
"Information counter ke paas smoke dikh raha hai, kuch electrical hua hai.",small_fire
Ek vendor ka generator set se halka smoke aa raha hai.,small_fire
"Food stall pe oil garam karte hue choti si aag lagi thi, abhi bujh gayi hai par smoke hai.",small_fire
"Emergency exit ke paas floor pe kuch jala hua hai, smell aa rahi hai.",small_fire
Parking lot mein ek bike ke paas halka dhuaan hai.,small_fire
"Ek tent ke andar se smoke aa raha hai, jaldi check karo.",small_fire
Shopping area mein ek shop ke entrance pe kuch jala hai.,small_fire
"Dekho, ek chair pe choti si aag hai, extinguish karo!",small_fire
Yahan electrical panel se halka spark ho raha hai.,small_fire
"Chai stall pe choti si aag lag gayi thi, ab theek hai par smoke hai.",small_fire
Ek car ke bonnet se thoda smoke aa raha hai.,small_fire
"Food court mein kisi ne cigarette jalake fek di hai, dhuaan uth raha hai.",small_fire
"Security cabin ke paas dhuaan hai, kuch jala hai.",small_fire
"Ek tent ke paas kuch jal raha hai, chota sa flame hai.",small_fire
"Electrical socket se spark ho raha hai, jaldi dekho.",small_fire
