text,label
Tourist ko help chahiye,need_interpreter
Kisi ko translator chahiye,need_interpreter
Tourist ko unka group nahi mil raha,need_interpreter
Foreigner samaj nahi paa raha,need_interpreter
Guide bhejo yahan,need_interpreter
Interpreter chahiye jaldi,need_interpreter
Yeh tourist confused lag raha hai,need_interpreter
Help this foreign visitor,need_interpreter
Tourist kisi se baat nahi kar pa raha,need_interpreter
Kya interpreter available hai?,need_interpreter
Is there someone who can translate?,need_interpreter
Foreigners need assistance,need_interpreter
Tourist English mein baat kar raha tha,need_interpreter
Koi Spanish translator milega?,need_interpreter
Tourist ko Hindi samaj nahi aata,need_interpreter
Support team se interpreter bhejo,need_interpreter
Volunteer bhejo to help tourist,need_interpreter
Foreigner lost and can’t speak Hindi,need_interpreter
Unko English mein guide chahiye,need_interpreter
Tourist group se bhatak gaya hai,need_interpreter
Interpreter urgently chahiye,need_interpreter
Language problem ho rahi hai,need_interpreter
Tourist help booth kahan hai?,need_interpreter
Tourist crying and can't speak local language,need_interpreter
Yeh banda foreign lag raha hai,need_interpreter
Tourist assistance chahiye,need_interpreter
Kya yahan language support milega?,need_interpreter
Unko map samaj nahi aa raha,need_interpreter
Kya koi English bol sakta hai?,need_interpreter
French tourist is lost,need_interpreter
Tourist ko kuch explain karna hai,need_interpreter
Foreigner can't read Hindi signs,need_interpreter
Guide se milwao please,need_interpreter
Foreign tourist ko confusion ho gaya,need_interpreter
Interpreter booth kahan hai?,need_interpreter
Language support chahiye tourist ke liye,need_interpreter
Koi English speaker bhejo,need_interpreter
Tourist help needed zone A,need_interpreter
Lost tourist ko guidance chahiye,need_interpreter
Tourist hindi nahi bol sakta,need_interpreter
Interpreter available ho to bhejo,need_interpreter
Foreign couple ko help chahiye,need_interpreter
Kya aap translate kar sakte ho?,need_interpreter
Tourist booth near gate?,need_interpreter
Support karo un tourist ko,need_interpreter
Foreigner pooch raha hai restroom,need_interpreter
Translator ki zarurat hai,need_interpreter
Foreigner angry ho gaya samajh ke bina,need_interpreter
Tourist confused in ticket system,need_interpreter
Language barrier ho raha hai,need_interpreter
Please someone guide tourist,need_interpreter
Help this foreign couple,need_interpreter
Volunteer should speak English,need_interpreter
Foreigner food menu samaj nahi pa raha,need_interpreter
Guide map samjhana padega,need_interpreter
Interpreter chahiye zone D mein,need_interpreter
Tourist ko hindi instructions samaj nahi aaye,need_interpreter
Help chahiye kisi ko English mein,need_interpreter
French speaking visitor ko help chahiye,need_interpreter
Unhe lag raha hai lost hain,need_interpreter
Tourist panic ho gaya,need_interpreter
Tourist confused near info desk,need_interpreter
Kya koi help kar sakta hai inko?,need_interpreter
Language issue face kar rahe hain,need_interpreter
Interpreter support jaldi chahiye,need_interpreter
Foreign visitor looks lost,need_interpreter
Tourist group ko support chahiye,need_interpreter
Volunteer with English needed,need_interpreter
Kya yeh English mein baat kar sakte hain?,need_interpreter
Support needed for traveler,need_interpreter
Kya koi German bolta hai?,need_interpreter
Lost tourist info nahi samajh paya,need_interpreter
Kya translator call kar sakte hain?,need_interpreter
Guide foreign visitor to booth,need_interpreter
Language translation problem ho rahi hai,need_interpreter
Foreigner cannot understand announcement,need_interpreter
Please assist the foreign lady,need_interpreter
Foreigner boy needs help,need_interpreter
Can anyone explain them the route?,need_interpreter
Tourist confused by map,need_interpreter
Interpreter ke bina tourist lost hai,need_interpreter
Help desk English nahi bolti,need_interpreter
Volunteer for translation zone B,need_interpreter
Foreigner ko basic info chahiye,need_interpreter
Tourist is asking questions no one gets,need_interpreter
Tourist speaking French,need_interpreter
Tourist asking directions in English,need_interpreter
Foreign visitor roaming without help,need_interpreter
No interpreter near gate,need_interpreter
Need someone to assist foreign guest,need_interpreter
Tourist booth staff not responding,need_interpreter
Tourist ko instructions repeat karo,need_interpreter
Foreigner can't fill form,need_interpreter
Kya koi sign translate karega?,need_interpreter
Volunteer chahiye to help tourist,need_interpreter
Unko help chahiye food stall mein,need_interpreter
Tourist crying for help,need_interpreter
Support station near gate 4?,need_interpreter
English speaking support kahan hai?,need_interpreter
Tourist ka friend mil nahi raha,need_interpreter
Interpreter ka contact number hai?,need_interpreter
Can someone explain schedule to tourist?,need_interpreter
Tourist support missing at event,need_interpreter
Foreigner asking for ride info,need_interpreter
