text,label
Aag lag gayi hai,small_fire
Khana ke stall ke paas smoke aa raha hai,small_fire
Fire ho gaya yahan,small_fire
Dhuaa dikh raha hai,small_fire
Stall ke paas kuch jal raha hai,small_fire
Choti aag lagi hai,small_fire
Smoke nikal raha hai corner se,small_fire
Yahan fire alarm baj gaya,small_fire
Aag kaafi fail rahi hai,small_fire
Stall mein kuch jal gaya,small_fire
Light ke board se spark ho raha hai,small_fire
Short circuit se smoke aa gaya,small_fire
Yahan emergency fire alert bhejo,small_fire
Security ko fire ke liye bulao,small_fire
Yahan kuch burn ho raha hai,small_fire
Stall ke peechhe se dhuaan aa raha hai,small_fire
Smell of something burning,small_fire
Fire extinguisher chahiye jaldi,small_fire
Stall mein fire control nahi ho raha,small_fire
Fire spreading ho sakti hai,small_fire
Aag ka source samaj nahi aa raha,small_fire
Electrical fire lagti hai,small_fire
Panel ke paas fire ka danger hai,small_fire
Fire response team ko bhejo,small_fire
Kisi ne bola yahan se smoke aa raha,small_fire
Cooking stall mein spark hua,small_fire
Kitchen ke paas kuch jal gaya,small_fire
LPG smell aa rahi hai,small_fire
Burning smell hai zone B mein,small_fire
Fire alarm activate ho gaya,small_fire
Emergency fire team bulao please,small_fire
Booth ke paas kuch jal raha hai,small_fire
Staff panic mein hai fire se,small_fire
Zone D mein fire issue hai,small_fire
Smoke detector ne alarm diya,small_fire
Yahan se smoke clear dikh raha,small_fire
Aag badh sakti hai agar control na ho,small_fire
Dhuaa se sab confuse ho gaye,small_fire
People scared due to fire,small_fire
Fire extinguisher use karo,small_fire
Sprinkler activate nahi hua,small_fire
Aag lagne wali smell aa rahi,small_fire
Zone A mein fire dikh rahi hai,small_fire
Security ko fire safety ke liye bulao,small_fire
Aag jaldi control karo,small_fire
Zone mein fire safety alert chahiye,small_fire
Smoke zone se clear nahi ho raha,small_fire
Fire emergency ko call karo,small_fire
Fire control system on karo,small_fire
Kitchen ke andar fire hai,small_fire
Choti si aag bhi dangerous ho sakti hai,small_fire
Public panic ho gaya fire se,small_fire
Fire hose available hai kya?,small_fire
Electrical board se fire dikh raha,small_fire
Smoke ke wajah se kuch dikh nahi raha,small_fire
Security zone E mein smoke alert bheje,small_fire
Aag ke paas koi bhi na jaye,small_fire
Booth ke peechhe kuch burn ho raha,small_fire
Cooking area mein fire alert,small_fire
Yahan fire brigade bhejo,small_fire
Fire warning siren chalu karo,small_fire
Smoke zone A mein fail gaya,small_fire
Khana banate waqt fire lagi,small_fire
Aag wall pe lag gayi,small_fire
Dekho spark se light gayi,small_fire
Kya sprinkler kaam kar raha hai?,small_fire
Gas se fire lagi hai,small_fire
LPG cylinder ke paas fire hai,small_fire
Zone ke andar se smell aa rahi hai,small_fire
Staff confused hai fire se,small_fire
Public ko alert karo fire ke liye,small_fire
Fire alarm band kyu hai?,small_fire
Kya fire safety drill hai?,small_fire
Emergency exit pe smoke hai,small_fire
Booth mein fire ka source nahi dikh raha,small_fire
Bina delay ke fire control bhejo,small_fire
Fire wall tak pahuch gayi hai,small_fire
Zone B mein log panic ho gaye,small_fire
Choti si fire bhi serious ho sakti hai,small_fire
Stall jal gaya poora,small_fire
Fire control fail ho gaya,small_fire
Fire siren baj raha hai,small_fire
People bhaag rahe fire ke wajah se,small_fire
Fire extinguisher empty hai,small_fire
Smoke sensor ne kaam nahi kiya,small_fire
Cooking oil fire ho gaya,small_fire
Aag abhi bhi lagi hui hai,small_fire
Yahan koi bhi safe nahi lag raha,small_fire
Smoke ne pura area cover kar liya,small_fire
Fire brigade late aa rahi hai,small_fire
Cooking counter mein spark hua,small_fire
Public ne fire report kiya,small_fire
Fire staff chilla rahe hain,small_fire
Log video bana rahe fire ka,small_fire
Fire ke wajah se sab dar gaye,small_fire
Kya fire exit open hai?,small_fire
Fire control emergency on karo,small_fire
Zone F mein heavy smoke hai,small_fire
Sab evacuation zone mein bhejo,small_fire
Fire se zone lock kar do,small_fire
People trapped due to fire,small_fire
Emergency lights nahi jal rahe,small_fire
