text,label
"Bhai, emergency hai, doctor bulao jaldi!",medical_help
"Mujhe saans lene mein dikkat ho rahi hai, help!",medical_help
"Ek chhota bachcha behosh ho gaya hai, kuch karo!",medical_help
"Kisi ko heart attack aaya hai, ambulance chahiye!",medical_help
"Yahan public mein ek lady gir gayi, chakkar aa gaye hain.",medical_help
"Mere dost ko bahut tez bukhaar hai, doctor dekhega kya?",medical_help
"Koi accident hua hai, aadmi ko chot lagi hai.",medical_help
"Kannpati mein bahut dard ho raha hai, medicine chahiye.",medical_help
Emergency! Jaldi se medical team ko bulao.,medical_help
"Ek lady ko fainting ho rahi hai, support chahiye.",medical_help
"Mujhe lagta hai fracture hua hai, X-ray karwana padega.",medical_help
"Yahan kisi ki naak se khoon beh raha hai, rok nahi pa rahe.",medical_help
Emergency medical attention needed immediately!,medical_help
Koi ladki vomit kar rahi hai baar baar.,medical_help
"Bhai, yeh aadmi bilkul nahi hil raha hai, check karo.",medical_help
"Mujhe khana gale mein atak gaya hai, help!",medical_help
Yahan crowd mein kisi ko epilepsy ka daura pada hai.,medical_help
"Doctor ki bahut zaroorat hai, emergency case hai.",medical_help
"Mere haath mein gehri chot lagi hai, bandage chahiye.",medical_help
"Someone collapsed here, needs immediate medical aid.",medical_help
Yahan kuch log food poisoning ka complain kar rahe hain.,medical_help
Ek bachcha bahut zyada ro raha hai aur saans nahi le pa raha.,medical_help
"Mujhe internal bleeding lag rahi hai, emergency hai.",medical_help
"Yahan ek aadmi ko high fever hai, ambulance bulao.",medical_help
"Kisi ko snake bite hua hai, jaldi doctor laao!",medical_help
"My friend is having severe chest pain, need help!",medical_help
Yahan public mein kisi ko diabetic shock aaya hai.,medical_help
"Mujhe allergic reaction ho raha hai, rash aa gaya hai.",medical_help
Emergency! Bandeh ko CPR ki zaroorat hai.,medical_help
"Yahan ek lady ko aankhon se kam dikh raha hai, problem hai.",medical_help
"Kisi ko electrical shock laga hai, immediate help required.",medical_help
"My leg is bleeding profusely, please send a medic.",medical_help
Yahan ek elder person ko chalne mein dikkat ho rahi hai.,medical_help
"Mujhe dizziness feel ho rahi hai, koi madad karo.",medical_help
Emergency! A person is unresponsive.,medical_help
"Yahan ek bachche ko tez tez khansi aa rahi hai, saans nahi le pa raha.",medical_help
"Kisi ko burn injury hui hai, first aid chahiye.",medical_help
"Mujhe samajh nahi aa raha kya karna hai, doctor chahiye!",medical_help
Yahan kisi ko migraine ka bahut severe attack aaya hai.,medical_help
Emergency! Need an ambulance for a cardiac arrest.,medical_help
"My head is spinning, I think I'm going to faint.",medical_help
"Yahan ek aadmi behosh pada hai, koi response nahi de raha.",medical_help
"Mujhe stomach mein extreme pain ho raha hai, doctor chahiye.",medical_help
"Emergency! Someone is choking, need assistance.",medical_help
Yahan ek lady ko bahut zyada ghabrahat ho rahi hai.,medical_help
"Kisi ko fracture ho gaya hai, pain management chahiye.",medical_help
Emergency medical assistance needed for a child.,medical_help
"Mujhe hosh nahi aa raha, jaldi doctor bulaiye.",medical_help
"Yahan ek aadmi ko fainting spell aaya hai, use utha nahi paa rahe.",medical_help
Emergency! Need a doctor for a breathing difficulty.,medical_help
"My arm is broken, I need medical help right away.",medical_help
Yahan ek bachcha gir gaya aur uske sir mein chot lagi hai.,medical_help
"Kisi ko dehydration ho gayi hai, pani pilana padega.",medical_help
Emergency! Need urgent medical attention for an elderly person.,medical_help
"Mujhe body mein bahut weakness lag rahi hai, help!",medical_help
Yahan ek aadmi ko khansi ke saath khoon aa raha hai.,medical_help
"Emergency! Someone is bleeding internally, call an ambulance.",medical_help
"My friend is unconscious, please send help quickly.",medical_help
"Yahan ek lady ko heatstroke ho gaya hai, jaldi doctor lao.",medical_help
"Mujhe samajh nahi aa raha, mera BP bahut low ho gaya hai.",medical_help
