text,label
"Yahan sab log ek dum se bhag rahe hain, kuch samajh nahi aa raha!",crowd_panic
"Bhai, ground mein full crowd hai aur sab push kar rahe hain!",crowd_panic
"Emergency exit pe stampede jaisa situation hai, koi sambhale!",crowd_panic
"Bahut zyada bheed ho gayi hai, saans lena mushkil hai.",crowd_panic
"Kisi ne chillaya aur sab log daudne lage, pura chaos hai.",crowd_panic
"Stage ke paas log gir rahe hain, jaldi help bhejo!",crowd_panic
"Entry gate pe jam lag gaya hai, andar jaane ke liye dhakka-mukki ho rahi hai.",crowd_panic
Music band hote hi crowd ne gate ki taraf bhagna shuru kar diya.,crowd_panic
"Aise lag raha hai jaise sabko bas bahar nikalna hai, ek dusre ko kuchal rahe hain.",crowd_panic
"Yaar, yahan ka scene bahut kharab hai, sab ek dusre se takra rahe hain.",crowd_panic
"Guard sambhal nahi paa rahe hain, crowd totally out of control hai.",crowd_panic
Koi andar se chillaya 'aag' aur sab bhaagne lage.,crowd_panic
"Stadium mein seat pe chadh gaye hain log, badi mushkil se khade hain.",crowd_panic
"Exit signs clear nahi hain, log ghabra kar idhar udhar bhag rahe hain.",crowd_panic
"Main toh fans gaya hoon bheed mein, mujhe nikalna hai!",crowd_panic
Itni zor se push ho raha hai ki main girne wala tha.,crowd_panic
Public bahut zyada excited hai aur control se bahar hai.,crowd_panic
"Emergency exit block ho gaya hai, please kuch karo!",crowd_panic
"Lagatar dhakka mil raha hai, bas sambhal ke rehna pad raha hai.",crowd_panic
"Chote bachhe aur mahilayein dar gayi hain, unhe nikalna mushkil ho raha hai.",crowd_panic
"Yahan se nikalne ka koi rasta nahi dikh raha, sab jam ho gaya hai.",crowd_panic
"Koi afwaah phaili hai lagta hai, sab log bhaag rahe hain.",crowd_panic
"Crowd management bilkul zero hai, sab apni marzi se chal rahe hain.",crowd_panic
"Stage crash hone ka dar hai, public bahut hi zyada overexcited hai.",crowd_panic
"Mere saamne se log phisal kar gir rahe hain, sambhalo yaar!",crowd_panic
"Humein yahan se nikalo, hum fans gaye hain!",crowd_panic
"Main toh andar hi fans gaya hoon, emergency nikalne ka raasta dikhao!",crowd_panic
Itni bheed hai ki Oxygen kam pad rahi hai.,crowd_panic
Sab log ek hi gate se bahar jaane ki koshish kar rahe hain.,crowd_panic
"Yahan pura Havel hai, koi nahi sun raha.",crowd_panic
Public ko control karne ke liye aur security chahiye.,crowd_panic
"Stage ke paas log chadh gaye hain, girne ka khatra hai.",crowd_panic
Bahut zyaada pressure aa raha hai crowd se.,crowd_panic
"Chilla mat, sab log dar jayenge!",crowd_panic
"Security guards bhi peeche hat rahe hain, crowd bahut strong hai.",crowd_panic
"Koi bomb dhamaka hone ki baat kar raha tha, ab sab bhaag rahe hain.",crowd_panic
"Main neeche gir gaya tha, logon ne mujhe uthaya.",crowd_panic
"Yahan ka flow bilkul ruk gaya hai, sab atak gaye hain.",crowd_panic
"Emergency services chahiye, koi injured hai.",crowd_panic
Bheed mein se roone ki awaazein aa rahi hain.,crowd_panic
"Public ko rokna mushkil ho raha hai, sab bhag daud macha rahe hain.",crowd_panic
"Har taraf sirf chehre hain, koi jagah nahi hai.",crowd_panic
Main toh apni jagah se hil nahi paa raha hoon.,crowd_panic
Guard ne roka toh public ne dhakka de diya.,crowd_panic
"Aisa lag raha hai jaise koi bhagwan nahi hai, sab jungle rule chal raha hai.",crowd_panic
Logon ne fencing todne ki koshish ki hai.,crowd_panic
"Yaar, yahan danger hai, jaldi nikalna hoga.",crowd_panic
"Bheed mein se kisi ki awaaz nahi aa rahi, sab ghut rahe hain.",crowd_panic
Main toh enter karne ki koshish kar raha tha aur bahar dhakka de diya gaya.,crowd_panic
"Log ladder pe chad rahe hain, sabko jaldi hai.",crowd_panic
"Koi sanjeeda situation lag rahi hai, sab ghabraaye hue hain.",crowd_panic
"Bheed CONTROL nahi ho rahi, humein help chahiye.",crowd_panic
"Mere saath mere bachhe hain, unhe sambhalna mushkil hai.",crowd_panic
"Floor slip ho raha hai, girne ka dar hai.",crowd_panic
Security ka koi naam-o-nishan nahi hai yahan.,crowd_panic
"Log footpath par bhi chadh gaye hain, crowd bahut zyada hai.",crowd_panic
Main toh bas khada tha aur mujhe zor se dhakka mila.,crowd_panic
Yahan saans lena bhi ek jung hai.,crowd_panic
Emergency exit khuli hai par bheed ne rok rakhi hai.,crowd_panic
"Sab ek dusre ko peeche dhakel rahe hain, koi aage nahi badh raha.",crowd_panic
Mujhe lagta hai mera phone kho gaya hai bheed mein.,crowd_panic
"Yaar, yahan toh bheed ka sailab aa gaya hai.",crowd_panic
"Public ne gate tod diya hai, sab andar ghus rahe hain.",crowd_panic
"Main bahut dar gaya hoon, please help!",crowd_panic
Itni bheed hai ki koi emergency vehicle aa nahi sakti.,crowd_panic
"People are suffocating here, please clear the way!",crowd_panic
"The crowd is going wild, security is overwhelmed.",crowd_panic
"There's a massive surge towards the exit, it's dangerous.",crowd_panic
"Someone shouted 'fire', now everyone is running.",crowd_panic
"We are trapped in the middle, push is too strong.",crowd_panic
"It's a stampede situation, people are falling down.",crowd_panic
"Cannot breathe, too much crowd pressure.",crowd_panic
"The situation is getting out of control, need immediate intervention.",crowd_panic
"People are climbing on each other to get a view, causing chaos.",crowd_panic
The exit routes are blocked by the panicked crowd.,crowd_panic
"Pushing and shoving is everywhere, very unsafe.",crowd_panic
I saw someone get injured due to the crowd surge.,crowd_panic
"The crowd is so dense, it's hard to move even an inch.",crowd_panic
"Panic is spreading rapidly, people are screaming.",crowd_panic
The main aisle is completely jammed with people.,crowd_panic
"Security is unable to manage the influx, it's chaotic.",crowd_panic
"People are falling over each other, this is a dangerous situation.",crowd_panic
"We need to evacuate immediately, the crowd is getting aggressive.",crowd_panic
"The air is thick, people are struggling to breathe.",crowd_panic
"Someone just pushed me really hard, I almost fell.",crowd_panic
The sheer volume of people is causing a dangerous crush.,crowd_panic
"It feels like a mob, everyone is just pushing forward.",crowd_panic
"There's a huge crush near the main entrance, need help.",crowd_panic
"People are climbing over barriers, very unsafe.",crowd_panic
"The crowd density is extremely high, creating a hazardous environment.",crowd_panic
"We are being pushed towards the edge, this is a serious issue.",crowd_panic
"The situation has escalated, requires immediate attention.",crowd_panic
"People are desperate to get out, causing a bottleneck.",crowd_panic
"I'm concerned about a potential stampede, the crowd is restless.",crowd_panic
The crowd movement is unpredictable and forceful.,crowd_panic
"It's hard to maintain balance, constant pushing from all sides.",crowd_panic
"People are desperate for entry, creating a dangerous crush.",crowd_panic
The crowd is so dense I can barely see the front.,crowd_panic
"We are stuck in a massive crowd, need an escape route.",crowd_panic
"The atmosphere is tense, any sudden movement could trigger panic.",crowd_panic
People are getting crushed against the walls.,crowd_panic
"Yaar, yahan log pagalon ki tarah daud rahe hain, kuch samajh nahi aa raha!",crowd_panic
"Bhai, entry pe itni bheed hai ki saans lena mushkil ho gaya hai.",crowd_panic
Koi toh sambhalo! Stage ke paas pura jamavda hai aur log gir rahe hain.,crowd_panic
Emergency exit khol do! Sab log ek hi taraf bhag rahe hain.,crowd_panic
Achanak se shor mach gaya aur sab idhar udhar bhagne lage.,crowd_panic
