text,label
Bacha kho gaya hai,child_lost
Ek chota ladka dikh nahi raha,child_lost
Mummy bacha gum ho gaya,child_lost
Zone D me ek child nahi mil raha,child_lost
Koi bacha ro raha tha akela,child_lost
Kid missing ho gaya,child_lost
Ek bacha apne parents se bichad gaya,child_lost
Child lost ho gaya event me,child_lost
Yahan ek chota bacha akela ghoom raha hai,child_lost
Kisi ko unka bacha nahi mil raha,child_lost
Lost child reported near food stall,child_lost
Bacha mila nahi ab tak,child_lost
Small kid crying alone in zone B,child_lost
Koi bacha apne maa baap se door ho gaya,child_lost
Zone C mein ek ladka akela hai,child_lost
Parents apne child ko dhoond rahe hain,child_lost
Ek child staff se pooch raha tha parents ke baare mein,child_lost
Bachpan ka friend dhoond raha hoon,child_lost
Mujhe bacha nahi mil raha,child_lost
Ek child bhatak gaya hai,child_lost
Koi bacha khoya hua lag raha hai,child_lost
Child wandering alone near exit gate,child_lost
Kya kisi ne ek bacha dekha hai?,child_lost
Announce karo ek bacha kho gaya hai,child_lost
Missing boy near amusement ride,child_lost
Little kid lost in crowd,child_lost
Chhoti ladki parents se door ho gayi,child_lost
Ek chhota boy confused lag raha hai,child_lost
Please help find missing kid,child_lost
Kisi ko ek chhoti ladki mili?,child_lost
Kid found crying near parking,child_lost
Zone E mein ek chhota bacha akela hai,child_lost
Family bacha kho gaya keh rahe hain,child_lost
Chhota ladka food stall ke paas ghoom raha tha,child_lost
Kya koi child help desk hai?,child_lost
Child lost ho gaya carnival mein,child_lost
Ek bacha staff ke paas gaya tha,child_lost
Kid ko announce karwana padega,child_lost
Kya yeh bacha kisi ka hai?,child_lost
Ek child parents ke bina ghoom raha hai,child_lost
Little girl asking for her mom,child_lost
Can’t find my child,child_lost
Lost child announcement karo,child_lost
Kisi ko ek chhota boy dikh gaya kya?,child_lost
Please announce lost child details,child_lost
Help me find my daughter,child_lost
My son is missing from zone D,child_lost
Ek 5 saal ka ladka nahi mil raha,child_lost
Little girl spotted alone near stage,child_lost
Child lost near entry gate,child_lost
Family ka bacha kho gaya,child_lost
Zone C mein parents ro rahe hain,child_lost
Bacha black t-shirt mein tha,child_lost
Pink frock wali ladki kho gayi hai,child_lost
Bacha group se alag ho gaya,child_lost
Child booth pe bhejna hoga,child_lost
Bachpan ka dost kho gaya,child_lost
Kya bacha support center hai yahan?,child_lost
Bacha do ghante se nahi mila,child_lost
Koi child care center batao,child_lost
Yahan ek chhoti ladki confused hai,child_lost
Missing child report lodge karna hai,child_lost
Bacha dhoondhne mein help chahiye,child_lost
Please help yeh child lost ho gaya,child_lost
Kya staff lost child ko handle karta hai?,child_lost
Lost child ka naam pata nahi,child_lost
Kisi ko blue dress wala bacha mila?,child_lost
Child booth yahan se kitna door hai?,child_lost
Bacha rasta bhool gaya hai,child_lost
Little boy searching for parents,child_lost
Ek chhoti ladki stage ke paas mili,child_lost
Ladka apne family ko nahi dhoond pa raha,child_lost
Help karo child mil nahi raha,child_lost
Child lost alert zone B,child_lost
Lost and found desk pe le jao,child_lost
Kya kisi ko 6 saal ka ladka mila?,child_lost
Child care team ko inform karo,child_lost
Parents waiting near info desk,child_lost
Koi child ka photo dikhaye,child_lost
Bacha announcement kiya kya?,child_lost
Bachpan ka yaadgar friend mil gaya,child_lost
Chhoti ladki booth pe ro rahi thi,child_lost
Child ka naam Rohan hai,child_lost
Parents ke saath nahi tha ladka,child_lost
Lost girl pink top mein thi,child_lost
Kid kaafi ghabraya hua tha,child_lost
Child found in corner crying,child_lost
Bachche ko le jao safe place pe,child_lost
Missing child emergency alert,child_lost
Zone A me child care team bhejo,child_lost
Bachpan ka partner nahi mil raha,child_lost
Yahan ek confused child hai,child_lost
Bacha ka photo circulate karo,child_lost
Lost child ke liye volunteer chahiye,child_lost
Koi bachcha fair ke andar kho gaya,child_lost
Family crying near lost booth,child_lost
Child missing hai 30 mins se,child_lost
Security se help le lo bacha dhoondhne,child_lost
Parents ne lost complaint diya hai,child_lost
Info desk pe lost report kar di,child_lost
Bacha entrance ke paas dekha gaya tha,child_lost
Kya bacha safe hai?,child_lost
Kya bacha mil gaya?,child_lost
Kid found but scared,child_lost
Bacha safe zone mein nahi tha,child_lost
Lost child ka location trace karo,child_lost
Child booth full ho gaya,child_lost
Kisi bache ne parents ke liye poocha,child_lost
Parents abhi bhi bacha dhoond rahe hain,child_lost
