text,label
Inko doctor chahiye,medical_help
Banda behosh ho gaya hai,medical_help
Patient ko turant madad chahiye,medical_help
Yahan ek aadmi zameen par gira hua hai,medical_help
Khoon nikal raha hai kisi ke pair se,medical_help
Koi banda chotil hai aur ro raha hai,medical_help
Doctor please aayiye yahan pe,medical_help
First aid ki zarurat hai yahan,medical_help
Koi lady ko chakkar aa gaya,medical_help
Ek aadmi ko stretcher chahiye urgently,medical_help
Doctor chahiye jaldi,medical_help
"Help, ek insaan injured hai",medical_help
Medical booth ko inform karo,medical_help
Yahan kisi ko medical emergency hai,medical_help
Doctor bulao please,medical_help
Kisi ko asthma ka attack aaya hai,medical_help
Heart attack ho gaya lagta hai,medical_help
Yahan pe CPR ki zarurat hai,medical_help
Medical team urgently bhejo,medical_help
Aadmi hosh mein nahi hai,medical_help
Khoon bahut zyada beh raha hai,medical_help
Kisi ke sar pe chot lagi hai,medical_help
Medical assistant chahiye yahan,medical_help
Ek child ko chot lag gayi hai,medical_help
Fracture ho gaya hai shayad,medical_help
Leg twist ho gaya kisi ka,medical_help
"Doctor, jaldi zone B aaiye",medical_help
Medical help zone C mein chahiye,medical_help
Koi banda mooh se khoon nikal raha hai,medical_help
Yahan pe banda shock mein hai,medical_help
Doctor yahan late ho raha hai,medical_help
Stretcher ready rakho please,medical_help
Ambulance ka route dikhao,medical_help
Medical booth ka number chahiye,medical_help
Fever se aadmi gir gaya,medical_help
Yahan kisi ko high BP issue hua hai,medical_help
Medical emergency at gate 3,medical_help
Doctor station kahan hai?,medical_help
Koi banda unconscious ho gaya,medical_help
Accident ho gaya yahan,medical_help
Bandage chahiye turant,medical_help
First aid box lekar aao,medical_help
Doctor zone D mein urgently aaye,medical_help
Someone fainted here,medical_help
Insaan sadak pe gir gaya,medical_help
Kisi ki tabiyat kharab ho gayi,medical_help
Doctor! Koi meri madad karo,medical_help
Yahan koi mar sakta hai without help,medical_help
Zyada der ho rahi hai doctor ko aate,medical_help
Yahan medical camp bhejo,medical_help
Doctor se baat karni hai urgently,medical_help
Stretcher bhejo turant,medical_help
Medical help now please,medical_help
Emergency ho gayi hai,medical_help
Koi chotil hai near exit gate,medical_help
Bachche ko injury hui hai,medical_help
Medical response slow hai,medical_help
Kisi ka accident ho gaya,medical_help
Please help doctor,medical_help
Can someone call a doctor,medical_help
Doctor ka wait nahi kar sakte,medical_help
Koi banda bleeding kar raha hai,medical_help
Kisi ko oxygen chahiye,medical_help
Medical aid chahiye yahan par,medical_help
Koi volunteer doctor ko bulao,medical_help
Doctor ki need hai zone A mein,medical_help
Bandage aur antiseptic chahiye,medical_help
Insaan ke pair me chot lagi hai,medical_help
Kisi ko allergy reaction ho raha hai,medical_help
Medical booth band hai kya?,medical_help
Doctor late ho gaye hain,medical_help
Doctor aate kyu nahi?,medical_help
Doctor zone B me nahi mil rahe,medical_help
Koi banda garam lag raha hai zyada,medical_help
Medical team ko jaldi bhejo,medical_help
Tabiyat bahut kharab hai kisi ki,medical_help
Koi chilla raha hai pain mein,medical_help
Mujhe lag raha hai heart problem hai,medical_help
Yahan pe koi bimaar pad gaya hai,medical_help
Koi help nahi kar raha yahan,medical_help
Medical support chahiye yahan urgently,medical_help
Koi banda bukhar mein kaanp raha hai,medical_help
Head injury ho gaya hai shayad,medical_help
Kisi ke haath me fracture lag raha hai,medical_help
Doctor booth yahan se kitna door hai?,medical_help
Stretcher dikh nahi raha,medical_help
Koi volunteer ko bulao,medical_help
Doctor chahiye gate ke paas,medical_help
Zone C me medical ki zarurat hai,medical_help
Doctor yahan late aate hain,medical_help
Koi doctor nahi mil raha abhi tak,medical_help
Zameen pe banda pada hua hai,medical_help
Bachcha ro raha hai chot se,medical_help
Doctor first aid dena padega,medical_help
Doctor nearby available hai?,medical_help
Mujhe lag raha banda unconscious hai,medical_help
Koi fever se hil nahi raha,medical_help
Zyada bheed ho gayi hai doctor ke paas,medical_help
Please CPR chalu karo,medical_help
Doctor booth lock mila,medical_help
Emergency team se contact karo,medical_help
Kisi ko chest pain ho raha hai,medical_help
Doctor ke bina dikkat ho rahi hai,medical_help
Medical call attend karo jaldi,medical_help
Yahan kisi ko fainting feel ho rahi hai,medical_help
Koi aur medical help laao,medical_help
Bachche ke sar pe chot lagi,medical_help
Help needed at medical zone now,medical_help
