text,label
"Bhaiya, mera phone pocket se gir gaya hai shayad, dhoondh do.",lost_item
"Excuse me, I think I left my scarf near the entrance. Can someone check?",lost_item
"Yaar, mera purse kahan gaya? Abhi toh yahin rakha tha.",lost_item
Someone took my laptop bag! It was right here.,lost_item
"Meri sunglasses mil nahi rahi hain, please help.",lost_item
"Hi, I lost my child's teddy bear. It's blue.",lost_item
Mera keys ka guccha gum ho gaya hai. Any information?,lost_item
I can't find my water bottle. It's a red one.,lost_item
"Excuse me, mera bracelet kho gaya hai. Bahut important hai.",lost_item
Mere jacket ki pocket mein se kuch nikal gaya hai. Maybe my ID.,lost_item
"Hello, I seem to have misplaced my spectacles.",lost_item
Kisi ne mera backpack churaya hai lagta hai.,lost_item
Mera headphone kahaan hai? I can't spot it anywhere.,lost_item
I accidentally left my umbrella behind. It's a black one.,lost_item
"Mera scarf kahin gir gaya, please dhyan se dekho.",lost_item
Can anyone help me find my wallet? It's brown leather.,lost_item
Mere kaan ki bali kho gayi hai. Zarur yahin kahin giri hogi.,lost_item
I think my pen dropped somewhere. It's a blue Parker.,lost_item
Mera phone charger nahi mil raha. Kisko dikha kya?,lost_item
"Excuse me, my gym bag is missing. Did anyone see it?",lost_item
"Meri watch mil nahi rahi hai, please help out.",lost_item
I've lost my favorite book. It has a white cover.,lost_item
Mera ID card gum ho gaya hai. Bahut zaroori hai.,lost_item
Someone might have picked up my shopping bag by mistake.,lost_item
Meri chappal kahin reh gayi lagta hai.,lost_item
I can't find my sunglasses. They were on my head.,lost_item
"Mera wallet mein cash aur cards the, please help!",lost_item
Has anyone seen a small black pouch? It's mine.,lost_item
"Mera phone keypad wala tha, woh kho gaya hai.",lost_item
"I left my jacket on the chair, but it's gone now.",lost_item
Meri chabi ka guccha kho gaya hai.,lost_item
Someone took my handbag. It's a red tote bag.,lost_item
Mera spectacles kahin gir gaya hai.,lost_item
I lost my travel pillow. It's a U-shaped one.,lost_item
"Mera phone charging pe lagaya tha, ab nahi hai.",lost_item
"Excuse me, my son lost his toy car. It's red.",lost_item
Meri diary kho gayi hai. Usmein important notes hain.,lost_item
I can't find my ear buds case. Just the case.,lost_item
Mera scarf kisi ne utha liya lagta hai.,lost_item
My medicine box is missing. Please check lost and found.,lost_item
"Mera mobile kahin phone mein rakha tha, ab mil nahi raha.",lost_item
I seem to have lost my passport. It's urgent.,lost_item
Mera pen drive kho gaya hai.,lost_item
Has anyone seen a blue water bottle? I left it here.,lost_item
Meri bracelet mil nahi rahi hai.,lost_item
Someone stole my bike keys. They were on the handle.,lost_item
Mera laptop bag chori ho gaya hai.,lost_item
I lost my shopping list. It was in my pocket.,lost_item
Mera perfume bottle kahin gir gaya.,lost_item
My car keys are missing. Did anyone find them?,lost_item
Mera headphones ka box gayab hai.,lost_item
"I left my book on the table, now it's not there.",lost_item
Meri credit card gum ho gayi hai.,lost_item
Someone might have taken my scarf by mistake.,lost_item
Mera mobile ka charger kho gaya.,lost_item
I can't find my ID card. It was in my wallet.,lost_item
Mera bag yahan se utha liya gaya hai.,lost_item
My sunglasses fell out of my bag. Please look.,lost_item
Mera wallet pocket se nikal gaya hai.,lost_item
I lost my small notebook. It has important details.,lost_item
Mera headphone wire kahan hai?,lost_item
Someone took my backpack. It's a black one.,lost_item
"Meri watch mil nahi rahi hai, please help.",lost_item
"I left my scarf on the seat, it's gone.",lost_item
Mera phone ka cover kho gaya hai.,lost_item
Can anyone help me find my wallet? It's black.,lost_item
Mera gym bag mil nahi raha.,lost_item
I lost my favourite pen. It was a gift.,lost_item
Mera wallet mein se cash nikal gaya.,lost_item
Someone took my jacket. It was on the chair.,lost_item
Meri sunglasses kahin gir gayi hain.,lost_item
Mera car ki keys gum ho gayi hain.,lost_item
I can't find my headphones. They were in my bag.,lost_item
"Mera phone charging ke liye diya tha, ab nahi mil raha.",lost_item
"Excuse me, my daughter's hair clip is missing.",lost_item
"Meri diary kho gayi hai, please help.",lost_item
I lost my travel mug. It's a blue one.,lost_item
Mera mobile pocket mein se nikal gaya lagta hai.,lost_item
Someone might have picked up my charger.,lost_item
Meri watch ka strap toot gaya aur watch gum ho gayi.,lost_item
I lost my ID card. It was inside my wallet.,lost_item
Mera backpack kahin reh gaya hai.,lost_item
My sunglasses are gone. I had them on my head.,lost_item
"Mera wallet mein kuch important papers the, woh bhi gayab hain.",lost_item
