text,label
Mera bag kho gaya,lost_item
Wallet nahi mil raha,lost_item
Mobile chhoot gaya,lost_item
Kisi ne mera saman utha liya,lost_item
Watch kho gaya,lost_item
Specs kho gaya,lost_item
Phone gira diya lagta hai,lost_item
ID card chhoot gaya,lost_item
Kisi ne mera purse le liya,lost_item
Backpack kahin chhoot gaya,lost_item
Mujhe apna phone nahi mil raha,lost_item
Yahan mera samaan kho gaya hai,lost_item
Kya lost and found booth hai?,lost_item
Kya kisi ko mera wallet mila?,lost_item
Maine apna bag yahan rakha tha,lost_item
"Bag table pe tha, ab nahi hai",lost_item
Phone last time pocket mein tha,lost_item
Specs kahin gir gayi lagti hai,lost_item
Purse nahi mil raha food stall ke paas,lost_item
Kya kisi ko mera saman mila?,lost_item
Kya lost item ka booth hai?,lost_item
Koi mera card wapas kare,lost_item
Purse zone C mein reh gaya,lost_item
Kisi ne wallet chura liya shayad,lost_item
Apna samaan kho diya maine,lost_item
"Phone table par tha, ab gayab hai",lost_item
Headphones nahi mil rahe,lost_item
Mujhe apna charger nahi mil raha,lost_item
Bag dusre gate pe chhoot gaya,lost_item
Mobile fall ho gaya somewhere,lost_item
Kya main lost item report kar sakta hoon?,lost_item
Yahan mera card kho gaya hai,lost_item
Ticket wallet ke saath chala gaya,lost_item
Lost my ticket and ID,lost_item
Mera smart watch chhoot gaya,lost_item
Mobile charging pe chhod diya tha,lost_item
Bag security check ke baad nahi mila,lost_item
Phone zone A mein miss ho gaya,lost_item
Can’t find my power bank,lost_item
Specs black case mein thi,lost_item
Handbag kho gaya queue mein,lost_item
Gate 3 pe saman reh gaya tha,lost_item
Phone kisi aur ne utha liya shayad,lost_item
Chhota bag nahi mil raha,lost_item
Data card kho gaya inside hall,lost_item
Lost keys in the rush,lost_item
Laptop bag reh gaya inside booth,lost_item
Specs ka cover mil gaya par specs nahi,lost_item
My wallet has important documents,lost_item
Lost something important,lost_item
Apna ID yahan drop ho gaya,lost_item
Bag pink color ka tha,lost_item
Wallet black color ka tha,lost_item
Phone white cover mein tha,lost_item
Bag security desk pe chhod diya tha,lost_item
Wallet kisi ne le liya,lost_item
Phone mil nahi raha subah se,lost_item
Handbag kahin chhoot gaya,lost_item
Lost my water bottle,lost_item
Can’t find my AirPods,lost_item
My ID tag is missing,lost_item
Metro card kho gaya,lost_item
Bag someone else le gaya shayad,lost_item
Lost small pouch,lost_item
Phone toh tha yahin pehle,lost_item
Kya koi mera bag return karega?,lost_item
ID booth se mil sakta hai kya?,lost_item
Laptop chhod diya table pe,lost_item
Mujhe apna saman chahiye,lost_item
Phone charging port pe tha,lost_item
Bag zone ke corner mein tha,lost_item
Powerbank gayab ho gaya,lost_item
Specs yaad nahi kahan rakhi,lost_item
Lost item help karo,lost_item
Mobile recover ho sakta hai?,lost_item
Bina phone ke problem ho rahi hai,lost_item
Bag green color ka tha,lost_item
Wallet le gaya shayad koi,lost_item
Gate pe saman chhoot gaya,lost_item
Phone kisi aur ke bag mein chala gaya,lost_item
ID zone F mein gir gaya,lost_item
Lost contact card,lost_item
Trolley bag nahi mil raha,lost_item
Data cable kahin gir gayi,lost_item
Phone mil jaye toh call karo please,lost_item
Lost house keys,lost_item
Specs zone E mein gir gayi,lost_item
Phone locker ke paas reh gaya,lost_item
Headphones lagta hai kisi ne le liya,lost_item
"Mobile cover mil gaya, phone nahi",lost_item
Small purse nahi mil raha,lost_item
Main apna saman dhoond raha hoon,lost_item
Bag kisi ne hata diya lagta hai,lost_item
"Phone silent pe tha, mil nahi raha",lost_item
Lost access badge,lost_item
Koi lost and found se mil sakta hai?,lost_item
Backpack security ke paas tha,lost_item
Lost phone ke liye inquiry karni hai,lost_item
"Found empty bag, mera nahi",lost_item
Bag last dekha zone A mein,lost_item
Mera black pouch chhoot gaya,lost_item
Laptop miss ho gaya event ke andar,lost_item
